CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment,ClusterSegment
12428,24,9,7956.46,3,4,4,344,Champions,Champions
12429,8,4,3750.4,4,3,4,434,Champions,General Customers
12430,42,1,256.4,3,1,1,311,Lost Customers,General Customers
12431,34,15,6419.95,3,4,4,344,Champions,Champions
12432,41,5,5059.32,3,3,4,334,Champions,General Customers
12433,-1,7,13375.87,4,4,4,444,Champions,Champions
12434,83,2,806.14,2,2,3,223,Lost Customers,General Customers
12435,78,2,7829.89,2,2,4,224,Lost Customers,General Customers
12436,98,1,509.01,2,1,2,212,Lost Customers,General Customers
12437,0,18,4951.41,4,4,4,444,Champions,Champions
12438,13,2,2906.85,4,2,4,424,Potential Loyalists,General Customers
12441,365,1,173.55,1,1,1,111,Lost Customers,General Customers
12442,2,1,172.06,4,1,1,411,Lost Customers,General Customers
12444,20,5,5005.46,3,3,4,334,Champions,General Customers
12445,21,1,133.4,3,1,1,311,Lost Customers,General Customers
12446,56,1,1002.3100000000001,2,1,3,213,Lost Customers,General Customers
12447,242,1,476.49,1,1,2,112,Lost Customers,General Customers
12448,43,1,449.45,3,1,2,312,Lost Customers,General Customers
12449,21,4,4067.29,3,3,4,334,Champions,General Customers
12450,155,2,197.88,1,2,1,121,At Risk,General Customers
12451,9,5,9035.52,4,3,4,434,Champions,Champions
12452,15,2,430.57,4,2,2,422,Potential Loyalists,General Customers
12453,133,1,707.09,2,1,3,213,Lost Customers,General Customers
12454,55,1,3528.34,2,1,4,214,Lost Customers,General Customers
12455,72,6,2466.86,2,4,4,244,Loyal Customers,General Customers
12456,43,3,3181.04,3,3,4,334,Champions,General Customers
12457,65,7,2363.23,2,4,4,244,Loyal Customers,General Customers
12458,70,2,947.4,2,2,3,223,Lost Customers,General Customers
12461,93,2,826.88,2,2,3,223,Lost Customers,General Customers
12462,17,2,1189.59,3,2,3,323,Potential Loyalists,General Customers
12463,52,4,1344.78,2,3,3,233,Loyal Customers,General Customers
12464,9,8,1212.05,4,4,3,443,Champions,General Customers
12465,16,2,742.1899999999999,4,2,3,423,Potential Loyalists,General Customers
12468,186,2,729.5400000000001,1,2,3,123,At Risk,General Customers
12471,1,30,19788.65,4,4,4,444,Champions,Champions
12472,31,7,6572.11,3,4,4,344,Champions,General Customers
12473,28,5,3928.0499999999997,3,3,4,334,Champions,General Customers
12474,16,18,7324.09,4,4,4,444,Champions,Champions
12475,52,1,723.38,2,1,3,213,Lost Customers,General Customers
12476,14,11,6816.42,4,4,4,444,Champions,Champions
12477,21,6,13219.74,3,4,4,344,Champions,Champions
12478,2,1,680.99,4,1,3,413,Lost Customers,General Customers
12479,10,1,527.2,4,1,2,412,Lost Customers,General Customers
12480,27,4,3281.63,3,3,4,334,Champions,General Customers
12481,21,10,5579.82,3,4,4,344,Champions,Champions
12483,16,8,2484.98,4,4,4,444,Champions,General Customers
12484,31,6,4527.32,3,4,4,344,Champions,General Customers
12488,8,3,1298.66,4,3,3,433,Champions,General Customers
12489,335,1,334.93,1,1,2,112,Lost Customers,General Customers
12490,4,10,5417.93,4,4,4,444,Champions,Champions
12491,37,1,460.40000000000003,3,1,2,312,Lost Customers,General Customers
12492,62,2,263.21000000000004,2,2,1,221,Lost Customers,General Customers
12493,164,2,433.74,1,2,2,122,At Risk,General Customers
12494,14,7,1246.1000000000001,4,4,3,443,Champions,General Customers
12497,80,1,1043.1,2,1,3,213,Lost Customers,General Customers
12498,20,3,403.70000000000005,3,3,2,332,Potential Loyalists,General Customers
12500,22,11,4257.82,3,4,4,344,Champions,General Customers
12501,335,1,2169.39,1,1,4,114,Lost Customers,General Customers
12502,94,5,3723.87,2,3,4,234,Loyal Customers,General Customers
12504,17,2,482.04999999999995,3,2,2,322,Potential Loyalists,General Customers
12506,231,1,73.5,1,1,1,111,Lost Customers,General Customers
12507,133,3,1304.81,2,3,3,233,Loyal Customers,General Customers
12508,25,2,397.88,3,2,2,322,Potential Loyalists,General Customers
12509,283,1,176.5,1,1,1,111,Lost Customers,General Customers
12510,141,2,982.5699999999999,1,2,3,123,At Risk,General Customers
12512,65,2,132.18,2,2,1,221,Lost Customers,General Customers
12513,111,1,612.29,2,1,2,212,Lost Customers,General Customers
12514,266,1,1017.68,1,1,3,113,Lost Customers,General Customers
12515,352,1,383.7,1,1,2,112,Lost Customers,General Customers
12516,76,2,1312.06,2,2,3,223,Lost Customers,General Customers
12517,27,5,2481.6,3,3,4,334,Champions,General Customers
12518,-1,5,2056.89,4,3,4,434,Champions,General Customers
12519,62,1,330.84,2,1,2,212,Lost Customers,General Customers
12520,78,5,2634.26,2,3,4,234,Loyal Customers,General Customers
12521,141,1,599.68,1,1,2,112,Lost Customers,General Customers
12522,38,2,192.72,3,2,1,321,Potential Loyalists,General Customers
12523,18,11,1789.77,3,4,4,344,Champions,General Customers
12524,8,8,4485.72,4,4,4,444,Champions,General Customers
12526,-1,3,1316.66,4,3,3,433,Champions,General Customers
12527,80,3,348.71000000000004,2,3,2,232,Lost Customers,General Customers
12528,8,6,1933.48,4,4,4,444,Champions,General Customers
12530,58,4,1662.28,2,3,4,234,Loyal Customers,General Customers
12531,13,1,125.22,4,1,1,411,Lost Customers,General Customers
12532,29,1,349.83000000000004,3,1,2,312,Lost Customers,General Customers
12534,129,1,1089.18,2,1,3,213,Lost Customers,General Customers
12535,90,2,716.35,2,2,3,223,Lost Customers,General Customers
12536,42,3,12601.830000000002,3,3,4,334,Champions,Champions
12538,28,1,363.95,3,1,2,312,Lost Customers,General Customers
12539,21,4,5568.35,3,3,4,334,Champions,General Customers
12540,18,17,13400.24,3,4,4,344,Champions,Champions
12541,28,3,981.18,3,3,3,333,Champions,General Customers
12544,35,1,372.7,3,1,2,312,Lost Customers,General Customers
12545,74,2,1000.39,2,2,3,223,Lost Customers,General Customers
12546,45,2,1161.5,3,2,3,323,Potential Loyalists,General Customers
12547,196,2,207.79999999999998,1,2,1,121,At Risk,General Customers
12548,165,1,95.19999999999999,1,1,1,111,Lost Customers,General Customers
12550,78,1,964.83,2,1,3,213,Lost Customers,General Customers
12551,356,1,168.0,1,1,1,111,Lost Customers,General Customers
12552,37,2,437.82,3,2,2,322,Potential Loyalists,General Customers
12553,7,10,3692.28,4,4,4,444,Champions,General Customers
12556,49,2,599.56,3,2,2,322,Potential Loyalists,General Customers
12557,15,5,11990.960000000001,4,3,4,434,Champions,Champions
12558,6,1,269.96,4,1,1,411,Lost Customers,General Customers
12559,309,2,561.71,1,2,2,122,At Risk,General Customers
12560,4,3,2134.01,4,3,4,434,Champions,General Customers
12561,301,1,238.85,1,1,1,111,Lost Customers,General Customers
12562,7,7,3781.7400000000002,4,4,4,444,Champions,General Customers
12564,260,1,456.9,1,1,2,112,Lost Customers,General Customers
12565,287,1,145.92,1,1,1,111,Lost Customers,General Customers
12566,85,1,351.65,2,1,2,212,Lost Customers,General Customers
12567,21,10,9401.28,3,4,4,344,Champions,Champions
12569,1,32,4124.69,4,4,4,444,Champions,Champions
12571,38,2,519.61,3,2,2,322,Potential Loyalists,General Customers
12572,7,2,1020.42,4,2,3,423,Potential Loyalists,General Customers
12573,226,1,160.54000000000002,1,1,1,111,Lost Customers,General Customers
12574,314,1,218.45,1,1,1,111,Lost Customers,General Customers
12576,34,5,1315.83,3,3,3,333,Champions,General Customers
12577,34,3,626.6,3,3,2,332,Potential Loyalists,General Customers
12578,20,2,2794.51,3,2,4,324,Potential Loyalists,General Customers
12579,77,1,440.42,2,1,2,212,Lost Customers,General Customers
12580,245,1,415.7,1,1,2,112,Lost Customers,General Customers
12581,38,1,197.71,3,1,1,311,Lost Customers,General Customers
12582,237,2,511.36,1,2,2,122,At Risk,General Customers
12583,1,15,7281.38,4,4,4,444,Champions,Champions
12584,2,9,2338.15,4,4,4,444,Champions,General Customers
12585,233,2,2040.1,1,2,4,124,At Risk,General Customers
12586,16,1,196.94000000000003,4,1,1,411,Lost Customers,General Customers
12587,6,1,144.0,4,1,1,411,Lost Customers,General Customers
12588,38,1,214.89999999999998,3,1,1,311,Lost Customers,General Customers
12589,27,2,646.68,3,2,2,322,Potential Loyalists,General Customers
12590,210,2,9864.26,1,2,4,124,At Risk,General Customers
12591,316,1,452.84999999999997,1,1,2,112,Lost Customers,General Customers
12592,91,2,437.6,2,2,2,222,Lost Customers,General Customers
12593,107,3,418.09999999999997,2,3,2,232,Lost Customers,General Customers
12594,36,10,3338.2200000000003,3,4,4,344,Champions,General Customers
12596,50,2,618.27,2,2,2,222,Lost Customers,General Customers
12597,18,4,3811.22,3,3,4,334,Champions,General Customers
12598,8,8,3023.08,4,4,4,444,Champions,General Customers
12599,28,7,1032.58,3,4,3,343,Champions,General Customers
12600,27,10,2599.04,3,4,4,344,Champions,General Customers
12601,188,5,577.0600000000001,1,3,2,132,At Risk,General Customers
12602,57,1,153.12,2,1,1,211,Lost Customers,General Customers
12603,20,1,739.1999999999999,3,1,3,313,Lost Customers,General Customers
12604,78,2,254.18,2,2,1,221,Lost Customers,General Customers
12607,59,1,1579.51,2,1,3,213,Lost Customers,General Customers
12609,77,3,1126.85,2,3,3,233,Loyal Customers,General Customers
12610,21,5,2099.54,3,3,4,334,Champions,General Customers
12611,51,1,1193.32,2,1,3,213,Lost Customers,General Customers
12612,73,1,704.0400000000001,2,1,3,213,Lost Customers,General Customers
12613,56,5,3344.38,2,3,4,234,Loyal Customers,General Customers
12614,276,1,315.6,1,1,2,112,Lost Customers,General Customers
12615,1,4,2291.19,4,3,4,434,Champions,General Customers
12616,94,2,713.3,2,2,3,223,Lost Customers,General Customers
12617,28,1,352.98,3,1,2,312,Lost Customers,General Customers
12618,20,1,177.31,3,1,1,311,Lost Customers,General Customers
12619,15,9,3641.24,4,4,4,444,Champions,General Customers
12620,13,3,1339.41,4,3,3,433,Champions,General Customers
12621,0,20,13689.67,4,4,4,444,Champions,Champions
12622,231,1,180.1,1,1,1,111,Lost Customers,General Customers
12623,275,1,305.1,1,1,1,111,Lost Customers,General Customers
12624,105,2,641.13,2,2,2,222,Lost Customers,General Customers
12625,210,2,2683.82,1,2,4,124,At Risk,General Customers
12626,22,9,6620.48,3,4,4,344,Champions,Champions
12627,9,7,4478.53,4,4,4,444,Champions,General Customers
12628,3,3,786.46,4,3,3,433,Champions,General Customers
12630,8,2,1270.88,4,2,3,423,Potential Loyalists,General Customers
12631,56,1,640.5,2,1,2,212,Lost Customers,General Customers
12633,57,4,2163.98,2,3,4,234,Loyal Customers,General Customers
12635,88,2,1689.18,2,2,4,224,Lost Customers,General Customers
12637,66,8,6002.9,2,4,4,244,Loyal Customers,General Customers
12638,32,1,671.69,3,1,3,313,Lost Customers,General Customers
12639,237,1,486.1,1,1,2,112,Lost Customers,General Customers
12640,22,3,1174.58,3,3,3,333,Champions,General Customers
12641,114,1,185.9,2,1,1,211,Lost Customers,General Customers
12642,24,3,1013.26,3,3,3,333,Champions,General Customers
12643,127,6,3344.64,2,4,4,244,Loyal Customers,General Customers
12644,128,1,477.91,2,1,2,212,Lost Customers,General Customers
12645,32,4,1775.18,3,3,4,334,Champions,General Customers
12646,3,2,1346.97,4,2,3,423,Potential Loyalists,General Customers
12647,21,12,3722.82,3,4,4,344,Champions,General Customers
12648,153,1,318.05,1,1,2,112,Lost Customers,General Customers
12649,106,3,623.51,2,3,2,232,Lost Customers,General Customers
12650,2,1,314.44,4,1,2,412,Lost Customers,General Customers
12651,333,1,114.0,1,1,1,111,Lost Customers,General Customers
12652,330,1,919.98,1,1,3,113,Lost Customers,General Customers
12653,147,2,2209.85,1,2,4,124,At Risk,General Customers
12654,9,5,601.98,4,3,2,432,Potential Loyalists,General Customers
12656,16,5,4051.17,4,3,4,434,Champions,General Customers
12657,10,4,1643.18,4,3,3,433,Champions,General Customers
12658,17,1,686.05,3,1,3,313,Lost Customers,General Customers
12659,28,1,91.68,3,1,1,311,Lost Customers,General Customers
12660,10,1,245.1,4,1,1,411,Lost Customers,General Customers
12662,-1,11,3849.78,4,4,4,444,Champions,General Customers
12664,7,9,4881.88,4,4,4,444,Champions,General Customers
12665,323,1,63.0,1,1,1,111,Lost Customers,General Customers
12667,57,1,620.13,2,1,2,212,Lost Customers,General Customers
12668,10,4,3807.15,4,3,4,434,Champions,General Customers
12669,149,3,2744.0299999999997,1,3,4,134,At Risk,General Customers
12670,9,5,2996.05,4,3,4,434,Champions,General Customers
12672,328,1,225.89999999999998,1,1,1,111,Lost Customers,General Customers
12673,4,2,610.52,4,2,2,422,Potential Loyalists,General Customers
12674,37,4,1970.6,3,3,4,334,Champions,General Customers
12676,23,6,1331.39,3,4,3,343,Champions,General Customers
12678,41,12,17628.46,3,4,4,344,Champions,Champions
12679,57,4,1113.02,2,3,3,233,Loyal Customers,General Customers
12680,-1,4,862.81,4,3,3,433,Champions,General Customers
12681,13,22,13787.54,4,4,4,444,Champions,Champions
12682,2,31,12279.82,4,4,4,444,Champions,Champions
12683,3,15,8476.57,4,4,4,444,Champions,Champions
12684,6,7,2283.63,4,4,4,444,Champions,General Customers
12685,27,6,2863.08,3,4,4,344,Champions,General Customers
12686,370,1,89.14,1,1,1,111,Lost Customers,General Customers
12688,112,1,4873.8099999999995,2,1,4,214,Lost Customers,General Customers
12689,24,2,1247.61,3,2,3,323,Potential Loyalists,General Customers
12690,204,1,389.01,1,1,2,112,Lost Customers,General Customers
12691,27,6,1035.8,3,4,3,343,Champions,General Customers
12693,126,4,855.91,2,3,3,233,Loyal Customers,General Customers
12694,69,2,869.67,2,2,3,223,Lost Customers,General Customers
12695,6,4,582.1,4,3,2,432,Potential Loyalists,General Customers
12697,27,3,957.59,3,3,3,333,Champions,General Customers
12700,6,4,4939.99,4,3,4,434,Champions,General Customers
12701,78,2,797.71,2,2,3,223,Lost Customers,General Customers
12702,18,1,219.0,3,1,1,311,Lost Customers,General Customers
12703,70,1,283.55,2,1,1,211,Lost Customers,General Customers
12704,6,8,2340.84,4,4,4,444,Champions,General Customers
12705,14,9,6868.29,4,4,4,444,Champions,Champions
12707,290,1,603.42,1,1,2,112,Lost Customers,General Customers
12708,28,10,2712.91,3,4,4,344,Champions,General Customers
12709,14,15,9706.52,4,4,4,444,Champions,Champions
12710,95,3,1149.02,2,3,3,233,Loyal Customers,General Customers
12712,27,13,4396.13,3,4,4,344,Champions,Champions
12713,-1,1,848.55,4,1,3,413,Lost Customers,General Customers
12714,8,5,4708.86,4,3,4,434,Champions,General Customers
12715,105,1,343.36,2,1,2,212,Lost Customers,General Customers
12716,2,2,1053.49,4,2,3,423,Potential Loyalists,General Customers
12717,150,2,1030.98,1,2,3,123,At Risk,General Customers
12718,70,1,238.25,2,1,1,211,Lost Customers,General Customers
12719,4,2,644.95,4,2,2,422,Potential Loyalists,General Customers
12720,1,25,5781.73,4,4,4,444,Champions,Champions
12721,30,6,2656.13,3,4,4,344,Champions,General Customers
12722,84,4,997.63,2,3,3,233,Loyal Customers,General Customers
12723,2,5,725.07,4,3,3,433,Champions,General Customers
12724,4,4,1031.41,4,3,3,433,Champions,General Customers
12725,370,1,427.8,1,1,2,112,Lost Customers,General Customers
12726,27,7,2609.1,3,4,4,344,Champions,General Customers
12727,9,7,3980.7,4,4,4,444,Champions,General Customers
12728,70,4,836.33,2,3,3,233,Loyal Customers,General Customers
12729,112,1,453.01,2,1,2,212,Lost Customers,General Customers
12731,22,12,18895.91,3,4,4,344,Champions,Champions
12732,178,1,236.26000000000002,1,1,1,111,Lost Customers,General Customers
12733,233,1,383.95,1,1,2,112,Lost Customers,General Customers
12734,351,1,110.39999999999999,1,1,1,111,Lost Customers,General Customers
12735,314,2,779.5699999999999,1,2,3,123,At Risk,General Customers
12736,331,1,234.0,1,1,1,111,Lost Customers,General Customers
12738,371,1,155.35,1,1,1,111,Lost Customers,General Customers
12739,77,2,1013.04,2,2,3,223,Lost Customers,General Customers
12740,62,1,427.6,2,1,2,212,Lost Customers,General Customers
12743,133,2,540.13,2,2,2,222,Lost Customers,General Customers
12744,50,7,21279.29,2,4,4,244,Loyal Customers,Champions
12747,1,11,4196.01,4,4,4,444,Champions,General Customers
12748,-1,209,33053.19,4,4,4,444,Champions,Champions
12749,2,5,4090.88,4,3,4,434,Champions,General Customers
12750,127,1,275.88,2,1,1,211,Lost Customers,General Customers
12752,80,1,4366.78,2,1,4,214,Lost Customers,General Customers
12753,21,6,21429.39,3,4,4,344,Champions,Champions
12754,234,3,3010.74,1,3,4,134,At Risk,General Customers
12755,279,2,3811.95,1,2,4,124,At Risk,General Customers
12756,85,1,112.07999999999998,2,1,1,211,Lost Customers,General Customers
12757,14,13,7834.650000000001,4,4,4,444,Champions,Champions
12758,115,2,2791.59,2,2,4,224,Lost Customers,General Customers
12759,51,3,1531.44,2,3,3,233,Loyal Customers,General Customers
12762,6,2,1898.52,4,2,4,424,Potential Loyalists,General Customers
12763,137,2,494.08,2,2,2,222,Lost Customers,General Customers
12764,315,1,1693.88,1,1,4,114,Lost Customers,General Customers
12766,2,7,6989.63,4,4,4,444,Champions,Champions
12769,237,1,1143.6,1,1,3,113,Lost Customers,General Customers
12770,209,1,1351.45,1,1,3,113,Lost Customers,General Customers
12772,58,1,892.47,2,1,3,213,Lost Customers,General Customers
12775,16,5,1386.04,4,3,3,433,Champions,General Customers
12778,18,6,822.23,3,4,3,343,Champions,General Customers
12779,36,8,3981.36,3,4,4,344,Champions,General Customers
12781,62,2,826.74,2,2,3,223,Lost Customers,General Customers
12782,3,5,2330.92,4,3,4,434,Champions,General Customers
12783,1,6,2225.91,4,4,4,444,Champions,General Customers
12784,8,2,532.8199999999999,4,2,2,422,Potential Loyalists,General Customers
12785,363,1,311.95,1,1,2,112,Lost Customers,General Customers
12787,8,3,463.66,4,3,2,432,Potential Loyalists,General Customers
12789,64,1,91.85,2,1,1,211,Lost Customers,General Customers
12790,191,1,324.92,1,1,2,112,Lost Customers,General Customers
12791,372,1,192.60000000000002,1,1,1,111,Lost Customers,General Customers
12792,255,1,400.53999999999996,1,1,2,112,Lost Customers,General Customers
12793,333,2,545.48,1,2,2,122,At Risk,General Customers
12794,52,2,860.41,2,2,3,223,Lost Customers,General Customers
12795,17,1,430.48,3,1,2,312,Lost Customers,General Customers
12797,364,1,254.03,1,1,1,111,Lost Customers,General Customers
12798,9,3,6977.04,4,3,4,434,Champions,General Customers
12802,185,1,427.58,1,1,2,112,Lost Customers,General Customers
12808,35,3,483.65000000000003,3,3,2,332,Potential Loyalists,General Customers
12809,176,1,489.31,1,1,2,112,Lost Customers,General Customers
12811,259,3,514.85,1,3,2,132,At Risk,General Customers
12812,43,1,229.64000000000001,3,1,1,311,Lost Customers,General Customers
12814,100,1,125.92,2,1,1,211,Lost Customers,General Customers
12815,146,2,1063.46,1,2,3,123,At Risk,General Customers
12816,94,2,572.2,2,2,2,222,Lost Customers,General Customers
12817,280,1,166.04,1,1,1,111,Lost Customers,General Customers
12818,260,1,1542.08,1,1,3,113,Lost Customers,General Customers
12820,2,4,942.34,4,3,3,433,Champions,General Customers
12821,213,1,92.72,1,1,1,111,Lost Customers,General Customers
12822,69,2,948.88,2,2,3,223,Lost Customers,General Customers
12823,73,5,1759.5,2,3,4,234,Loyal Customers,General Customers
12824,58,1,397.12,2,1,2,212,Lost Customers,General Customers
12826,1,7,1474.72,4,4,3,443,Champions,General Customers
12827,4,3,430.15000000000003,4,3,2,432,Potential Loyalists,General Customers
12828,1,6,1018.71,4,4,3,443,Champions,General Customers
12829,335,2,293.0,1,2,1,121,At Risk,General Customers
12830,36,6,6814.64,3,4,4,344,Champions,General Customers
12831,261,1,215.05,1,1,1,111,Lost Customers,General Customers
12832,31,2,383.03,3,2,2,322,Potential Loyalists,General Customers
12833,144,1,417.38,1,1,2,112,Lost Customers,General Customers
12834,281,1,312.38,1,1,2,112,Lost Customers,General Customers
12836,58,4,2610.36,2,3,4,234,Loyal Customers,General Customers
12837,172,1,134.1,1,1,1,111,Lost Customers,General Customers
12838,32,2,671.95,3,2,3,323,Potential Loyalists,General Customers
12839,1,14,5591.42,4,4,4,444,Champions,Champions
12840,142,4,2726.77,1,3,4,134,At Risk,General Customers
12841,3,25,3991.58,4,4,4,444,Champions,Champions
12842,69,2,1118.99,2,2,3,223,Lost Customers,General Customers
12843,64,8,1702.26,2,4,4,244,Loyal Customers,General Customers
12844,28,2,325.96000000000004,3,2,2,322,Potential Loyalists,General Customers
12845,266,4,354.09,1,3,2,132,At Risk,General Customers
12847,21,1,843.64,3,1,3,313,Lost Customers,General Customers
12849,30,2,1010.29,3,2,3,323,Potential Loyalists,General Customers
12851,95,1,131.81,2,1,1,211,Lost Customers,General Customers
12852,293,1,311.55,1,1,2,112,Lost Customers,General Customers
12853,133,6,1957.1000000000001,2,4,4,244,Loyal Customers,General Customers
12854,77,3,1316.25,2,3,3,233,Loyal Customers,General Customers
12855,371,1,38.1,1,1,1,111,Lost Customers,General Customers
12856,6,6,2170.78,4,4,4,444,Champions,General Customers
12857,209,2,1106.4,1,2,3,123,At Risk,General Customers
12863,51,1,521.2,2,1,2,212,Lost Customers,General Customers
12864,137,1,147.12,2,1,1,211,Lost Customers,General Customers
12865,25,2,1568.23,3,2,3,323,Potential Loyalists,General Customers
12866,282,1,559.12,1,1,2,112,Lost Customers,General Customers
12867,25,7,4009.34,3,4,4,344,Champions,General Customers
12868,184,6,1607.0600000000002,1,4,3,143,At Risk,General Customers
12871,83,2,380.64,2,2,2,222,Lost Customers,General Customers
12872,325,2,599.97,1,2,2,122,At Risk,General Customers
12873,281,1,374.0,1,1,2,112,Lost Customers,General Customers
12875,142,2,343.2300000000001,1,2,2,122,At Risk,General Customers
12876,56,2,2218.02,2,2,4,224,Lost Customers,General Customers
12877,2,12,1535.77,4,4,3,443,Champions,General Customers
12878,235,2,854.99,1,2,3,123,At Risk,General Customers
12879,43,3,573.22,3,3,2,332,Potential Loyalists,General Customers
12881,274,1,298.0,1,1,1,111,Lost Customers,General Customers
12882,8,2,1463.04,4,2,3,423,Potential Loyalists,General Customers
12883,23,4,703.47,3,3,3,333,Champions,General Customers
12884,87,1,309.05,2,1,2,212,Lost Customers,General Customers
12885,62,3,1175.22,2,3,3,233,Loyal Customers,General Customers
12886,66,2,1378.4,2,2,3,223,Lost Customers,General Customers
12888,213,2,354.12,1,2,2,122,At Risk,General Customers
12890,23,1,376.71999999999997,3,1,2,312,Lost Customers,General Customers
12891,184,3,331.0,1,3,2,132,At Risk,General Customers
12893,29,1,176.55,3,1,1,311,Lost Customers,General Customers
12895,41,2,372.8,3,2,2,322,Potential Loyalists,General Customers
12897,203,2,216.5,1,2,1,121,At Risk,General Customers
12901,7,28,17654.54,4,4,4,444,Champions,Champions
12902,263,1,138.68,1,1,1,111,Lost Customers,General Customers
12904,17,2,496.06,3,2,2,322,Potential Loyalists,General Customers
12906,10,5,2919.81,4,3,4,434,Champions,General Customers
12908,175,2,750.0,1,2,3,123,At Risk,General Customers
12909,38,5,2178.67,3,3,4,334,Champions,General Customers
12910,22,8,3075.04,3,4,4,344,Champions,General Customers
12912,1,5,1662.3,4,3,4,434,Champions,General Customers
12913,3,5,2483.63,4,4,4,444,Champions,General Customers
12915,147,2,363.65,1,2,2,122,At Risk,General Customers
12916,137,4,2944.95,2,3,4,234,Loyal Customers,General Customers
12917,127,1,594.0,2,1,2,212,Lost Customers,General Customers
12919,7,6,1335.19,4,4,3,443,Champions,General Customers
12920,16,1,162.78,4,1,1,411,Lost Customers,General Customers
12921,8,37,16587.09,4,4,4,444,Champions,Champions
12922,160,1,405.38,1,1,2,112,Lost Customers,General Customers
